values,samplingRateHz
-2656.8457,
-2656.8457,
-2656.8457,
-2283.4404,
-2283.4404,
-2656.8457,
-3030.252,
-2656.8457,
-3030.252,
-2656.8457,
-2283.4404,
-2656.8457,
-2283.4404,
-1910.0352,
-2283.4404,
-2656.8457,
-2656.8457,
-3030.252,
-2656.8457,
-2656.8457,
-3030.252,
-2283.4404,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-3030.252,
-2656.8457,
-2283.4404,
-3030.252,
-2656.8457,
-2656.8457,
-2656.8457,
-2283.4404,
-2283.4404,
-2656.8457,
-2656.8457,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-2656.8457,
-1910.0352,
-3030.252,
-2283.4404,
-3030.252,
-2656.8457,
-1910.0352,
-1163.2227,
-789.8174,
-43.00586,
-416.4121,
-1910.0352,
-3777.0635,
-3403.6582,
-3030.252,
-3403.6582,
-2656.8457,
-2656.8457,
-2283.4404,
-2283.4404,
-2283.4404,
-2656.8457,
-2656.8457,
-2283.4404,
-2283.4404,
-2283.4404,
-2283.4404,
-3030.252,
-1910.0352,
-2283.4404,
-3403.6582,
-2656.8457,
-2283.4404,
-2656.8457,
-2283.4404,
-2656.8457,
-1536.6289,
-1910.0352,
-1910.0352,
